_prices,_id,_dateTime
2171.29,0LVBP42S3I,2023-12-18 23:23:47
2174.36,96KY671H3H,2023-12-18 23:24:12
2169.94,JJODHUBZXJ,2023-12-18 23:25:13
2177.93,LFPF8TY15Y,2023-12-18 23:34:22
2178.47,LGKVT39GCN,2023-12-18 23:34:53
2179.12,M628KV3AJ0,2023-12-18 23:36:25
2180.17,3D8Z8R6SYM,2023-12-18 23:37:56
2183.59,640ASCWKCM,2023-12-18 23:49:38
2185.5,SREMNTIRD4,2023-12-18 23:50:39
2168.13,U54B3FRSO7,2023-12-20 23:08:12
2173.53,YGNR069VKM,2023-12-20 23:10:13
2186.52,E9M47FXJIZ,2023-12-20 23:22:16
2188.08,70LKMXVUZV,2023-12-20 23:30:18
2190.47,FGWE0SG5KR,2023-12-20 23:32:19
2192.3,4A2KECD8MX,2023-12-20 23:34:19
2189.62,A8KSR7LLAE,2023-12-20 23:36:19
2193.24,IRFFXYPMK8,2023-12-20 23:40:21
2182.55,XF678D42XL,2023-12-21 01:00:41
2251.31,TW3LSU5R8B,2023-12-21 16:04:56
2250.11,9308U28A51,2023-12-21 16:06:57
2253.58,11DCLO3FXT,2023-12-21 16:08:57
2254.98,NWR59W83FT,2023-12-21 16:12:59
2252.4,3QUAVYK319,2023-12-21 16:25:02
2225.56,G6V0W0QXOA,2023-12-21 18:30:48
2229.34,ELVQ5D3QJO,2023-12-21 18:32:49
2227.08,LT67DICAXJ,2023-12-21 18:34:50
2224.16,WJR2W24028,2023-12-21 18:36:50
2228.8,0G97MCW17A,2023-12-21 18:40:52
2226.19,Z49REMWD4U,2023-12-21 18:44:53
2231.07,7U0TGGTR1W,2023-12-21 18:54:55
2230.45,R913RKEXVC,2023-12-21 18:56:55
2233.21,1V7A55VD3Y,2023-12-21 18:58:56
2235.46,FL50M5498N,2023-12-21 19:00:56
2237.9,CNUPKNPLWA,2023-12-21 19:06:58
2232.15,KOUBMHG5CL,2023-12-21 19:08:58
